,Price,Close,High,Low,Open,Volume,Daily_Return
0,Ticker,,,,,,
148,2020-08-04,485.286376953125,494.3245062096364,467.2800121689445,469.609423994313,60306168.0,0.03957084224001628
149,2020-08-05,478.7174682617188,491.8786456601499,475.2000335008773,488.2214234354095,33221360.0,-0.013536148969705564
150,2020-08-06,484.8437805175781,491.505921442642,478.1118027303425,483.1200384227675,33646888.0,0.01279734428347612
151,2020-08-07,486.3113098144531,487.8720044096025,475.4795445056124,482.1183684045793,24836784.0,0.0030268085429669966
152,2020-08-10,489.4793701171875,495.698888976028,486.28808695227946,486.3812406870049,22172854.0,0.0065144697209347235
153,2020-08-11,496.9335021972656,498.96007938089247,488.4777247720502,488.4777247720502,20136148.0,0.01522869508942426
154,2020-08-12,495.5591125488281,496.6306648741139,488.2447812270838,496.1647824492789,20666432.0,-0.0027657415778176153
155,2020-08-13,493.3927612304688,499.1230804280221,492.2047384038107,497.5390689492808,19892740.0,-0.004371529578413025
156,2020-08-14,481.9320068359375,496.5840418576167,478.6009933042525,496.5840418576167,20924512.0,-0.02322846076206997
157,2020-08-17,481.14007568359375,487.7789002572962,475.2932569215147,487.7789002572962,19561012.0,-0.0016432424929464506
158,2020-08-18,492.2046813964844,494.6039867688533,476.1317410195997,478.92703499818833,24040824.0,0.022996641252903904
159,2020-08-19,496.9101257324219,498.4009834424596,492.0882545647328,496.1647253126064,17715624.0,0.009559934136723847
160,2020-08-20,493.3694458007813,498.0049527841738,490.1082691052142,491.48259939303983,19216734.0,-0.007125393000236735
161,2020-08-21,505.7852478027344,507.2527887625489,495.9784003626129,496.35112903731255,28924302.0,0.02516532409460659
162,2020-08-24,520.4139404296875,523.1626010023112,505.7852221801752,505.9482696406922,36779740.0,0.028922734877112388
163,2020-08-25,521.6484985351562,525.0494627903026,515.3590861592298,521.3224036045685,27601738.0,0.002372261789239216
164,2020-08-26,521.0661010742188,527.262359189932,516.8964767141415,522.2541238364602,25190062.0,-0.0011164557409307774
165,2020-08-27,518.1077880859375,526.40051727272,515.3823875124955,524.490410871614,20645996.0,-0.005677423617046817
166,2020-08-28,519.2258911132812,524.117655901697,510.1411850776518,518.0378683450753,38696610.0,0.002158050994512939
167,2020-08-31,519.8548583984375,535.2057174156104,512.7967287494497,526.2141644558503,38501166.0,0.001211355781599588
168,2020-09-01,525.189208984375,532.7830573562773,516.1976566572553,525.5153038893357,28877884.0,0.010261230610350447
169,2020-09-02,528.3805541992188,530.6400725458099,522.1144015732478,523.698413163885,19761682.0,0.0060765628086976164
170,2020-09-03,526.8663330078125,533.8778278806976,525.5152628904855,529.8246743991176,19833362.0,-0.0028657776660632184
171,2020-09-04,521.4622192382812,524.3040906468215,514.5205597558249,517.1294899526747,23661370.0,-0.010257086913638691
172,2020-09-07,517.3623657226562,521.5553070027138,512.0047185314716,520.0645061846334,17615466.0,-0.007862225419923652
173,2020-09-08,518.2708129882812,521.2292114954615,513.8682473974536,518.9929534005107,14624918.0,0.0017559206579629283
174,2020-09-09,510.8400268554688,517.1294389508165,508.3941443739446,512.936497553918,15728872.0,-0.01433765117886443
175,2020-09-10,508.0680236816406,514.7301072186972,505.0164715161075,513.8682362382533,15188088.0,-0.005426362516836369
176,2020-09-11,502.5240173339844,514.7301123776449,498.9600059176345,510.8166891924452,20794730.0,-0.010911937160466123
177,2020-09-14,492.8802185058594,509.6753002806365,490.2712886719225,506.8800061291888,21650590.0,-0.019190722225154055
178,2020-09-15,498.7270202636719,501.3592667283542,492.9500681597745,497.56231447137,16505110.0,0.011862520625268269
179,2020-09-16,509.5122375488281,510.60704968456383,497.7253914822184,498.5872624456527,18710112.0,0.021625492197022256
180,2020-09-17,504.8302001953125,509.6753889414163,502.22126990753816,505.0165645452425,18318686.0,-0.009189253973643674
181,2020-09-18,492.5774536132813,508.83670286508107,487.8719961697908,508.7435491390424,23481778.0,-0.02427102534137371
182,2020-09-21,488.8504333496094,499.12310632138906,485.21652781988456,491.5059403264313,19842878.0,-0.007566363901417961
183,2020-09-22,482.3746337890625,492.97345806947664,479.6259163378624,491.06335166115406,18620678.0,-0.013246995642766657
184,2020-09-23,487.8953247070313,491.505913168697,481.8854306032092,487.3129717293432,16079828.0,0.01144482012788206
185,2020-09-24,480.0452270507813,487.7788633671432,477.5294507653503,483.5859218482279,19809510.0,-0.016089716910002716
186,2020-09-25,486.3812255859375,490.0849679176664,477.8322949202668,489.1765199858567,20321544.0,0.013198753321811418
187,2020-09-28,491.1331481933594,493.3694062104635,485.7522411997085,488.68726586795344,16152422.0,0.009769954836758465
188,2020-09-29,495.0233154296875,498.4475393397902,489.642351520666,492.9035279817931,12644446.0,0.007920799584874683
189,2020-09-30,502.5007019042969,506.3675482387844,490.1082425077449,493.8353013861308,18813842.0,0.015105119782325538
190,2020-10-01,515.7083740234375,517.1293377446782,507.8582688740953,507.8582688740953,21203080.0,0.026283887901227487
191,2020-10-05,519.1560668945312,527.3789030377089,517.5953721509669,518.0612545741451,16940126.0,0.006685353670322636
192,2020-10-06,533.0159912109375,534.8329437703007,524.6766856787656,528.7997900186148,19371990.0,0.02669702850496014
193,2020-10-07,541.4718627929688,542.6831457559576,529.9878493385703,533.3888138792839,21248778.0,0.015864198675954677
194,2020-10-08,555.2386474609375,560.4565074085144,541.9842595267456,549.7412125869052,35060674.0,0.02542474616678736
195,2020-10-09,574.689208984375,576.2964803811725,555.1687266903496,559.5247153902895,44972388.0,0.03503099363198747
196,2020-10-12,565.418212890625,578.975379998091,561.6678366449868,573.7575196193371,19220546.0,-0.016132191015269415
197,2020-10-13,558.336669921875,569.5178461278751,556.7293985904237,565.3016450557711,18353952.0,-0.012524433786005207
198,2020-10-14,564.41650390625,565.7209973196525,547.6447382103152,556.9857026863531,22582918.0,0.010889189823813039
199,2020-10-15,544.7329711914062,566.9788547701016,542.2870887036962,565.6743613618266,28246896.0,-0.03487412678158186
200,2020-10-16,558.7560424804688,560.6894658056045,546.4800526713536,549.7412294562637,25822848.0,0.025743019113368737
201,2020-10-19,560.7127685546875,575.3647468497838,555.6113223045031,575.3647468497838,42359556.0,0.0035019327317380444
202,2020-10-20,570.2166748046875,571.824003021098,561.8075325791795,562.5529329589159,27411978.0,0.01694968758157156
203,2020-10-21,580.8155517578125,582.8188687791578,569.1684920300116,573.3148566671905,35640752.0,0.01858745529803274
204,2020-10-22,574.5726928710938,582.352904932836,569.7740821862868,577.6707648290158,21913060.0,-0.010748436173626974
205,2020-10-23,575.7374877929688,581.6308546067371,573.5943832747879,579.3247594944286,15866230.0,0.0020272368254303785
206,2020-10-26,564.136962890625,578.6258929585825,561.2018812651366,572.9421508966846,19571976.0,-0.020148983083962735
207,2020-10-27,574.4795532226562,575.8306235030151,558.0571992756649,571.1717996882658,24317780.0,0.01833347398304852
208,2020-10-28,563.5313110351562,573.9670876390384,559.7576751609615,572.1035581337169,16571186.0,-0.0190576707666682
209,2020-10-29,553.0955810546875,561.1320527238242,549.0424267871138,559.3384167978385,23060024.0,-0.01851845634149285
210,2020-10-30,551.3950805664062,558.732727611852,548.0406935091028,550.9291982143144,11522716.0,-0.003074514688833019
211,2020-11-02,566.1635131835938,570.705865994571,548.5764548641692,556.4265609121364,21926080.0,0.026783758393377433
212,2020-11-03,581.39794921875,582.7024427562156,570.938911531275,571.3814770866223,28164230.0,0.026908191150453176
213,2020-11-04,585.8005981445312,589.24813961413,573.0354077681336,583.2848215656123,23404822.0,0.007572522283054717
214,2020-11-05,591.2979736328125,594.4659969919073,583.4478658459915,589.807172564071,21433928.0,0.009384380121313818
215,2020-11-06,609.2111206054688,610.3059328513875,589.5741664300999,589.9235782237172,35705724.0,0.030294619246877375
216,2020-11-09,624.5386352539062,627.0543545612294,612.7284716515643,612.7284716515643,26288440.0,0.025159610732653936
217,2020-11-10,649.2770385742188,649.9059684599363,629.6634002908364,632.2024367026047,41517356.0,0.03961068527050382
218,2020-11-11,647.55322265625,659.1304458555891,638.491832675096,652.1887866837259,36116194.0,-0.0026549774835009643
219,2020-11-12,639.0509033203125,646.9010677232948,633.6001016644528,641.7064672804189,27053948.0,-0.013129915871719633
220,2020-11-13,633.041015625,637.6998395348973,627.5435806631576,637.6998395348973,22472480.0,-0.00940439590036879
221,2020-11-14,638.119140625,640.5650233786753,636.0226696932782,637.2340095057151,1835066.0,0.008021794598864096
222,2020-11-17,656.1719970703125,658.1054202674948,643.1971845231012,645.6198069538088,31059900.0,0.02829073020381556
223,2020-11-18,656.28857421875,661.087186126254,651.7928541434696,653.6330670437874,18862776.0,0.0001776624862963594
224,2020-11-19,640.2854614257812,651.9790982252188,637.327119576682,647.4367448510429,20266882.0,-0.024384262383386646
225,2020-11-20,653.935791015625,656.1487322426384,635.9527431554501,639.4934377445903,20405362.0,0.021319130938015185
226,2020-11-23,649.7196044921875,663.2535113941707,640.7513680047175,659.2236171309135,25246636.0,-0.006447401383076756
227,2020-11-24,670.0320434570312,673.2000665182222,653.1904402304294,655.962417756164,40154400.0,0.0312633924302157
228,2020-11-25,653.5398559570312,682.2382005322407,650.8377152785766,676.1351524430806,24152602.0,-0.02461402803201551
229,2020-11-26,664.651123046875,667.1435824592155,646.1788749098687,659.2235818294623,27943126.0,0.01700166713409179
230,2020-11-27,671.2665405273438,673.6658458892036,659.4797517581621,667.0503395836804,17994580.0,0.009953217938070358
231,2020-12-01,667.7491455078125,675.0634751124932,664.1152406990055,671.2665228673526,17147574.0,-0.005239937948892881
